config,fault_error_rate_pct,fault_errors,image_size_mb,p50_ms,p95_ms,recovery_time_s,startup_time_s,throughput_rps,total_mem_mb
monolith,8.146022636696955,511,209.73266315460205,11.142676012241282,48.27011899033096,,1.0235838890075684,1182.8005612495333,62.14333333333334
multi,7.300613496932515,476,197.8459930419922,11.490120014059357,45.46084899629932,,1.004824161529541,1206.2077858335763,65.946
compose_3x,0.0167937392939912,5,,19.094623989076354,36.9481070083566,0.0712435245513916,0.6340115070343018,1438.5671909978807,172.04366666666667
swarm_1x,0.6782493303516576,276,,9.000752004794776,13.480362002155744,9.23068356513977,7.542164325714111,2098.004008966572,53.28
swarm_3x,0.12322015334063527,36,,16.14499899733346,38.8948300096672,0.0547027587890625,,1600.9715091837147,161.31333333333333
